,Unnamed: 0,old_ID,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
4857,4857,362,Al1Sc1La1Ta1,AlScLaTa,0.6435,0.5707046597219676,0.5352534655176928,6.691077458806583
4858,4858,363,Al1Sc1La1W1,AlScLaW,0.5405,0.4893629107755305,0.4709033451828764,6.89656471785263
4859,4859,364,Al1Sc1La1Re1,AlScLaRe,0.5182,0.4681564319261197,0.4564759336105618,7.0266830298081
4860,4860,365,Al1Sc1La1Os1,AlScLaOs,0.551,0.4493083095505498,0.4424468350081951,7.151246489752952
4861,4861,366,Al1Sc1La1Ir1,AlScLaIr,0.5612,0.4798524313062517,0.4683415796046333,7.171269755584135
4862,4862,367,Al1Sc1La1Pt1,AlScLaPt,0.5314,0.5222885812052284,0.5022996110067851,7.1305681290582
4863,4863,368,Al1Sc1La1Au1,AlScLaAu,0.5497,0.5327177925891929,0.5065094489432698,7.0443678744641
4864,4864,369,Al1Sc1La1Hg1,AlScLaHg,0.524,0.593762151071803,0.5687913293094944,6.586100754059786
4901,4901,406,Al1Ti1V1Cr1,AlTiVCr,0.6204,1.1281787208346383,1.1036497318227518,4.910565558668884
4902,4902,407,Al1Ti1V1Mn1,AlTiVMn,0.6009,1.2558407178717417,1.1903652081484497,4.9835318733554805
4903,4903,408,Al1Ti1V1Fe1,AlTiVFe,0.6181,1.056338679105266,1.027562836874908,5.042042877525081
4904,4904,409,Al1Ti1V1Co1,AlTiVCo,0.5937,0.9528834651396442,0.9291505942614678,5.197297758915254
4905,4905,410,Al1Ti1V1Ni1,AlTiVNi,0.6266,0.9452826792101804,0.92252603702218,5.1993634647877744
4906,4906,411,Al1Ti1V1Cu1,AlTiVCu,0.6266,1.220532060692744,1.2000458838015056,5.2558164561203995
4907,4907,412,Al1Ti1V1Zn1,AlTiVZn,0.5993,0.9487315202692614,0.8955707301817291,5.02123835563291
4908,4908,413,Al1Ti1V1Y1,AlTiVY,0.5437,0.6411823183080213,0.6047939240527235,4.399940433037036
4909,4909,414,Al1Ti1V1Zr1,AlTiVZr,0.6412,0.693013621921581,0.6434616137577083,5.05250075842917
4910,4910,415,Al1Ti1V1Nb1,AlTiVNb,0.6394,1.1591730680168564,1.04062358322201,5.500546285999999
4911,4911,416,Al1Ti1V1Mo1,AlTiVMo,0.6276,1.2796954990568221,1.1857513455420885,5.796930142929132
4912,4912,417,Al1Ti1V1Tc1,AlTiVTc,0.4161,1.0582472474881457,0.9402675315270288,5.972531576784565
4913,4913,418,Al1Ti1V1Ru1,AlTiVRu,0.5177,1.0616954668605465,0.9986919699045091,6.113436105129868
4914,4914,419,Al1Ti1V1Rh1,AlTiVRh,0.5131,0.7965840579668291,0.7376669731380152,6.152910762982171
4915,4915,420,Al1Ti1V1Pd1,AlTiVPd,0.513,1.2641270866152217,1.2318865370472345,6.147825583349281
