AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,Phase
103.808,2973.5,49.5,1.59,164.5,1.56E-05,5891,9.2,878.965,30,0.95,257.5,42,3.5,335,1
93.724,2446,58,1.895,131,7.80E-07,6316.5,17.53,547.45,24.4,98.1,277.2,71,3.5,282,1
59.0071,2758.85,168,1.687,139.1,0.000133,7960.5,20.775,1934.95,12.205,24.195,432.15,96.8,6,350.05,0
127.159,4791,210,1.7725,162.25,5.25E-05,12645,30.15,2706.5,16.45,11.2775,256.5,78,5.25,669.75,0
103.154,3618.35,366,2.2625,142.15,4.62E-09,12352,21.18,1913.89,13.87,140.93,239.75,164,5.75,483,0
46.7387,2690.67,133.692,1.75487,127.154,0.0371959,6332.31,14.2,1195.96,13.3436,6.64005,599.821,182.308,3.25641,328.128,1
49.8058,2669.5,75.5,1.81,120.5,0.0405007,4011.5,21.25,799.31,19.65,1.2165,612.7,147.5,3.5,313.5,1
73.5285,2351,16.5,1.05,166,3.85E-05,3612,4.25,489.27,28.15,35.8,1881,48,2.5,248.5,1
145.435,2495.5,18.15,1.15,202.5,1.79E-05,5695,7.8,870.5,42.8,2289.49,188.5,13.5,3,287.5,1
123.916,3287.5,39.85,1.21,192,1.50E-05,6345.5,11.1,1441,32.55,12.14,240,14,3,337.5,0
82.6766,2945,180,2.04,132.5,1.50E-05,10461.5,16.45,1524.95,12.85,22.05,330.5,85.5,4,377.5,0
79.657,4014.25,82.575,1.3375,173.75,0.000104,5629.5,19.75,1776.5,23.725,6.938,350.25,21.25,3.75,514.5,0
67.2705,1165,38,1.54,133,8.50E-06,3387.5,10.25,315.025,27.75,38.2,1885.5,44,3.5,97.5,1
54.086,2907.7,158.31,1.77366,134.972,0.0146665,7458.87,17.2718,1530.39,12.3915,8.35951,476.31,131.141,3.73239,367.648,1
118.574,4501.5,265,1.765,152,9.50E-05,13565,27.9,2548,14.25,47.53,313,39.5,6,579,0
54.1463,2782.5,159.6,1.807,129.5,0.0207588,7740.4,15.92,1453.49,12,9.8733,481.44,136.3,3.5,347.1,1
92.9709,3151.5,192.5,1.98,128.5,2.25E-05,12037.5,17.15,1563.33,12.1,30.4,349,92.75,4.5,403.75,0
